32,94,1
57,61,1
56,50,4
85,68,2
47,11,1
35,63,5
68,83,1
68,100,3
9,60,4
51,52,1
83,1,1
21,77,3
74,50,5
98,66,1
64,75,1
6,76,3
91,18,1
79,53,1
99,86,3
45,67,1
6,2,3
40,88,2
33,64,4
72,22,3
14,40,2
76,14,4
98,92,1
6,51,4
9,27,2
10,24,5
80,45,4
63,52,5
40,94,3
22,35,2
33,35,4
81,32,1
88,36,1
34,16,3
27,49,4
95,62,4
6,77,4
79,86,1
85,53,3
20,88,1
37,67,5
100,72,2
87,49,2
27,67,5
49,46,5
52,4,2
9,98,1
71,58,1
25,39,2
46,88,1
41,71,4
83,30,3
29,46,2
68,79,3
38,72,2
26,10,4
59,71,2
68,35,2
35,93,4
31,35,4
48,71,3
99,27,2
27,41,2
13,21,2
6,92,4
57,27,4
29,56,5
84,19,2
70,33,5
19,38,2
31,73,4
36,39,5
14,95,5
59,71,3
47,90,5
6,96,2
15,38,3
1,100,5
70,3,4
22,94,3
76,62,2
18,9,3
44,90,4
71,84,2
19,58,2
37,83,4
38,65,1
96,77,5
31,82,1
94,1,4
27,86,5
80,42,5
95,88,5
63,32,3
20,90,5
81,99,5
100,39,3
46,88,2
89,8,5
93,89,4
46,6,2
99,81,2
81,31,4
60,85,3
33,22,4
8,20,3
68,24,2
67,64,5
89,29,5
78,12,2
54,42,2
44,37,2
75,26,5
12,76,2
73,74,2
69,18,5
38,68,3
63,17,3
11,44,4
95,69,1
38,30,1
21,9,4
14,28,2
91,75,5
56,86,2
100,21,3
25,68,3
4,96,4
50,79,5
12,64,5
43,64,4
33,7,3
31,69,3
38,31,4
66,67,4
75,17,2
45,32,1
34,38,3
6,78,5
50,72,5
27,26,1
70,87,3
89,99,3
12,6,3
37,18,1
69,85,1
58,11,5
83,95,5
7,18,4
99,39,2
49,73,2
60,7,5
7,90,3
78,93,5
70,90,2
84,26,2
3,4,1
58,22,5
68,85,4
24,32,1
39,51,3
72,30,5
57,24,2
93,46,2
33,61,5
100,1,1
30,63,4
98,63,3
32,69,4
55,9,3
95,50,4
66,48,3
85,82,2
81,33,1
64,95,1
24,23,5
55,42,3
19,61,3
74,16,5
28,61,2
63,88,3
33,67,5
60,82,3
77,44,1
55,19,3
37,93,4
79,5,5
54,57,2
18,14,4
63,87,1
74,72,1
69,46,5
86,65,2
28,65,5
5,18,3
93,52,3
81,28,4
73,42,3
60,12,5
28,63,3
84,55,3
81,38,4
25,23,2
83,11,2
76,60,2
2,89,2
34,1,5
97,51,1
54,51,2
99,4,3
81,25,3
71,89,1
69,94,1
52,22,5
9,5,5
15,12,2
15,66,5
80,48,3
44,52,5
72,36,5
25,43,3
13,52,3
62,21,2
80,67,3
43,76,2
87,60,1
10,53,4
19,39,1
37,34,4
20,68,1
25,42,4
16,82,3
37,2,4
17,12,5
27,6,4
60,37,3
49,91,5
16,30,4
79,40,3
86,97,3
11,44,5
23,13,2
56,48,4
89,43,2
62,31,3
68,22,2
10,54,1
89,9,3
65,98,1
62,76,3
22,40,3
31,95,1
16,38,1
91,61,5
22,76,2
63,11,5
52,41,1
69,11,3
72,93,5
25,68,2
71,45,1
86,74,5
55,28,5
20,84,5
57,55,5
6,60,5
36,93,2
29,75,1
43,1,1
78,40,3
43,12,2
97,68,1
22,72,2
86,58,1
84,15,1
19,36,4
92,32,3
78,18,4
10,42,1
48,74,5
42,50,2
68,19,2
52,60,1
27,93,5
84,26,4
9,19,2
2,50,2
11,14,4
54,5,1
98,38,2
18,16,3
9,31,2
10,46,3
35,45,1
47,47,5
3,77,3
1,97,2
3,17,1
31,9,5
19,48,5
62,22,4
87,74,4
34,88,5
82,53,4
16,32,3
39,79,2
76,64,2
5,87,2
62,47,1
79,36,2
19,43,3
90,93,3
45,92,4
88,33,3
9,79,1
2,40,5
76,48,5
1,38,2
45,10,1
26,50,1
25,25,5
6,8,4
82,75,4
92,35,4
66,90,1
64,88,5
63,13,2
5,2,1
78,99,2
86,13,4
45,30,3
81,38,3
9,70,1
28,85,1
36,74,4
8,91,1
67,34,5
23,31,5
19,86,1
25,54,2
83,48,5
65,4,4
31,65,3
34,67,1
100,100,5
74,41,5
89,38,3
13,98,5
63,76,3
17,22,3
55,29,3
86,16,4
95,43,2
12,18,3
34,10,4
22,37,2
13,28,3
19,75,5
3,69,3
42,41,3
46,28,3
15,5,4
12,15,3
46,65,2
88,75,5
64,64,3
37,39,3
37,48,4
79,75,5
38,87,1
48,24,5
70,24,4
46,83,3
74,25,2
68,34,1
96,16,3
47,64,2
75,74,3
22,13,1
55,35,4
92,67,3
79,52,4
37,15,3
31,31,1
95,30,5
24,66,4
89,62,1
43,9,3
32,80,4
100,98,4
95,94,4
70,54,5
45,49,5
75,88,4
45,33,3
41,71,5
79,75,3
55,76,2
38,17,2
6,20,1
21,46,3
18,58,1
36,69,2
63,17,3
44,77,2
84,41,4
35,95,4
10,2,2
